md_slug	score	via	local_stem	local_publisher	predicted_url	http_status	md_title	md_year
a-strategy-for-exports-16-july-1975	100.0	title	a-strategy-for-exports-16-July-1975	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/a-strategy-for-exports-16-July-1975.pdf	200	A Strategy for Exports	1975
a-vision-on-new-india-2020-mukesh-a-ambani	100.0	slug	a-vision-on-new-india-2020-mukesh-a-ambani	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/a-vision-on-new-india-2020-mukesh-a-ambani.pdf	200	A VISION OF INDIA IN 2020	1998
aandolan-anant-umrikar	100.0	slug	aandolan-anant-umrikar	marathi	https://indianliberals.in/marathi/aandolan-anant-umrikar.pdf	200	आंदोलन	1992
aandolan	100.0	title	aandolan-anant-umrikar	marathi	https://indianliberals.in/marathi/aandolan-anant-umrikar.pdf	200	Aandolan	2016
accountability-in-public-sevice-n-vittal-february-4-2011	100.0	slug	accountability-in-public-sevice-n-vittal-february-4-2011	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/accountability-in-public-sevice-n-vittal-february-4-2011.pdf	200	Accountability in Public Service	2011
administrators-managers-leadership-deepak-parekh	100.0	title	administrators-managers-and-leadership-by-deepak-parekh-1997	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/administrators-managers-and-leadership-by-deepak-parekh-1997.pdf	200	Administrators, Managers and Leadership	
angarmala-by-sharad-joshi	100.0	title	angarmala-sharad-joshi	marathi	https://indianliberals.in/marathi/angarmala-sharad-joshi.pdf	200	Angarmala by Sharad Joshi	2016
angarmala-sharad-joshi	100.0	slug	angarmala-sharad-joshi	marathi	https://indianliberals.in/marathi/angarmala-sharad-joshi.pdf	200	अंगारमळा	2008
anvyartha-1-sharad-joshi	100.0	slug	anvyartha-1-sharad-joshi	marathi	https://indianliberals.in/marathi/anvyartha-1-sharad-joshi.pdf	200	अन्वयार्थ - १	2010
baliche-rajey-yenar-aahe-by-sharad-joshi	100.0	title	baliche-rajey-yenar-aahe-sharad-joshi	marathi	https://indianliberals.in/marathi/baliche-rajey-yenar-aahe-sharad-joshi.pdf	200	'Baliche Rajey Yenar Aahe' by Sharad Joshi	2016
baliche-rajey-yenar-aahe-sharad-joshi	100.0	slug	baliche-rajey-yenar-aahe-sharad-joshi	marathi	https://indianliberals.in/marathi/baliche-rajey-yenar-aahe-sharad-joshi.pdf	200	बळीचे राज्य येणार आहे	2010
balyo-bibaher-dosh-ishwar-chandra-vidyasagar	100.0	slug	balyo-bibaher-dosh-Ishwar-chandra-vidyasagar	bengali	https://indianliberals.in/bengali/balyo-bibaher-dosh-Ishwar-chandra-vidyasagar.pdf	200	বাল্য বিবাহের দোষ	
banken-lutal-shetkanyala-by-anant-umrikar	100.0	title	banken-lutal-shetkanyala-anant-umrikar	marathi	https://indianliberals.in/marathi/banken-lutal-shetkanyala-anant-umrikar.pdf	200	'Banken Lutal Shetkanyala' by Anant Umrikar	2016
banker-and-corporate-customer-mr-r-k-talwar-june-27-1974	100.0	title	banker-and-corporate-customer-mr-r-k-talwar-june-27-1974	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/banker-and-corporate-customer-mr-r-k-talwar-june-27-1974.pdf	200	BANKER AND CORPORATE CUSTOMER	1974
banks-relationship-with-customers-evolving-perspectives-mrs-shyamala-gopinath-may-6-2008	100.0	title	banks-relationship-with-customers-evolving-perspectives-mrs-shyamala-gopinath-may-6-2008	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/banks-relationship-with-customers-evolving-perspectives-mrs-shyamala-gopinath-may-6-2008.pdf	200	Banks' Relationship with Customers - Evolving Perspectives	2008
banks-relationship-with-customers-mrs-shyamala-gopinath-may-6-2008	100	exact-slug	banks-relationship-with-customers-mrs-shyamala-gopinath-may-6-2008	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/banks-relationship-with-customers-mrs-shyamala-gopinath-may-6-2008.pdf	200	Banks' Relationship with Customers - Evolving Perspectives	2008
basic-documents-forum-of-free-enterprise-july-18-1956	100.0	title	basic-documents-forum-of-free-enterprise-july-18-1956	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/basic-documents-forum-of-free-enterprise-july-18-1956.pdf	200	Basic Documents	1970
chandvdachi-shidori-by-sharad-joshi	100.0	title	chandvdachi-shidori-sharad-joshi	marathi	https://indianliberals.in/marathi/chandvdachi-shidori-sharad-joshi.pdf	200	Chandvdachi Shidori by Sharad Joshi	2016
congress-misrule-and-the-swatantra-alternative	100.0	title	congress-misrule-and-the-swatantra-alternative	liberals	https://indianliberals.in/liberals/congress-misrule-and-the-swatantra-alternative.pdf	200	Congress Misrule and the Swatantra Alternative	1966
constitution-march-2000	100.0	slug	constitution-march-2000	indian-liberal-group	https://indianliberals.in/indian-liberal-group/constitution-march-2000.pdf	200	Constitution	2000
convertibility-of-rupee-on-capital-account-dr-s-r-k-rao	100.0	title	convertibility-of-rupee-on-capital-account-dr-s-r-k-rao	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/convertibility-of-rupee-on-capital-account-dr-s-r-k-rao.pdf	200	Convertibility of Rupee on Capital Account	1997
convertibility-of-rupee-on-capital-market-by-s-r-k-rao-1997	100.0	title	convertibility-of-rupee-on-capital-account-dr-s-r-k-rao	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/convertibility-of-rupee-on-capital-account-dr-s-r-k-rao.pdf	200	Convertibility of Rupee on Capital Account	1997
corporate-governance-in-india-by-k-b-dadiseth-1997	100	exact-slug	corporate-governance-in-india-by-k-b-dadiseth-1997	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/corporate-governance-in-india-by-k-b-dadiseth-1997.pdf	200	Corporate Governance in India	1997
corporate-governance-in-india-k-b-dadiseth	100.0	title	corporate-governance-in-india-k-b-dadiseth	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/corporate-governance-in-india-k-b-dadiseth.pdf	200	Corporate Governance in India	1997
deficit-financing-inflation-and-price-control-k-j-ayaraman-november-14-1973	100.0	title	deficit-financing-inflation-and-price-control-k-j-ayaraman-november-14-1973	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/deficit-financing-inflation-and-price-control-k-j-ayaraman-november-14-1973.pdf	200	Deficit Financing, Inflation and Price Control	1973
economic-prophecies	100.0	title	economic-prophecies	liberals	https://indianliberals.in/liberals/economic-prophecies.pdf	200	Economic Prophecies	2004
fifteen-years-of-indian-planning-prof-b-r-shenoy-aug10-1966	100.0	title	fifteen-years-of-indian-planning-prof-b-r-shenoy-aug10-1966	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/fifteen-years-of-indian-planning-prof-b-r-shenoy-aug10-1966.pdf	200	FIFTEEN YEARS OF INDIAN PLANNING	1966
fifty-years-after	100.0	title	fifty-years-after	indian-liberal-group	https://indianliberals.in/indian-liberal-group/fifty-years-after.pdf	200	Fifty Years After ...	1997
financing-under-planned-economy-m-a-master-feb6-1964	100.0	title	financing-under-planned-economy-m-a-master-feb6-1964	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/financing-under-planned-economy-m-a-master-feb6-1964.pdf	200	Financing Under Planned Economy	1964
forum-of-free-enterprise-2005-2006	100.0	slug	forum-of-free-enterprise-2005-2006	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/forum-of-free-enterprise-2005-2006.pdf	200	The Forum of Free Enterprise	
free-but-fettered-the-illiterate-citizen-dr-c-d-deshmukh-november-12-1970	100.0	slug	free-but-fettered-the-illiterate-citizen-dr-c-d-deshmukh-november-12-1970	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/free-but-fettered-the-illiterate-citizen-dr-c-d-deshmukh-november-12-1970.pdf	200	FREE BUT FETTERED—THE ILLITERATE CITIZEN	1970
free-eneterprise-in-india-a-d-shroff-january-1-1970	100.0	slug	free-eneterprise-in-india-a-d-shroff-january-1-1970	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/free-eneterprise-in-india-a-d-shroff-january-1-1970.pdf	200	FREE ENTERPRISE IN INDIA	
free-enterprise-in-india-a-call-for-leadership-a-d-shroff-25-october-1961	100.0	slug	free-enterprise-in-india-a-call-for-leadership-a-d-shroff-25-october-1961	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/free-enterprise-in-india-a-call-for-leadership-a-d-shroff-25-october-1961.pdf	200	Free Enterprise in India — A Call For Leadership	1961
free-enterprise-in-india-a-call-for-leadership-by-ad-shroff-november-8-1961	100.0	title	free-enterprise-in-india-a-call-for leadership-by-Ad-shroff-November-8-1961	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/free-enterprise-in-india-a-call-for leadership-by-Ad-shroff-November-8-1961.pdf	200	Free Enterprise in India - A Call For Leadership	1961
free-enterprise-the-key-to-prosperity-by-sm-dahanukar	100.0	slug	free-enterprise-the-key-to-prosperity-by-sm-dahanukar	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/free-enterprise-the-key-to-prosperity-by-sm-dahanukar.pdf	200	FREE ENTERPRISE—THE KEY TO PROSPERITY	
free-market-economy-key-to-economic-progress-and-freedoms-by-ma-rangoonwala-1982	100.0	title	free-market-economy-key-to-economic-progress-and-freedoms-by-ma-rangoonwala-1982	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/free-market-economy-key-to-economic-progress-and-freedoms-by-ma-rangoonwala-1982.pdf	200	FREE MARKET ECONOMY —Key to Economic Progress and Freedoms	1982
free-market-economy-key-to-economic-progress-and-freedoms-m-a-rangoonwaala-june-15-1982	100.0	slug	free-market-economy-key-to-economic-progress-and-freedoms-m-a-rangoonwaala-june-15-1982	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/free-market-economy-key-to-economic-progress-and-freedoms-m-a-rangoonwaala-june-15-1982.pdf	200	FREE MARKET ECONOMY —Key to Economic Progress and Freedoms	1982
fundamental-rights-b-shiva-rao-october-9-1969	100.0	slug	fundamental-rights-b-shiva-rao-october-9-1969	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/fundamental-rights-b-shiva-rao-october-9-1969.pdf	200	Fundamental Rights in India	1969
hamara-hindustan	100.0	slug	hamara-hindustan	hindi	https://indianliberals.in/hindi/hamara-hindustan.pdf	200	हमारा हिन्दुस्तान	1942
how-controlled-industries-work-in-india-sir-biren-mookerjee-mar10-1963	100.0	slug	how-controlled-industries-work-in-india-sir-biren-mookerjee-mar10-1963	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/how-controlled-industries-work-in-india-sir-biren-mookerjee-mar10-1963.pdf	200	HOW CONTROLLED INDUSTRIES WORK IN INDIA—A CASE STUDY	1963
implications-of-bank-nationalisation-misc-mar9-1964	100.0	title	implications-of-bank-nationalisation-misc-mar9-1964	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/implications-of-bank-nationalisation-misc-mar9-1964.pdf	200	Implications of Bank Nationalisation	1964
indian-planning-at-the-crossroads-n-dandeker-m-p-nov11-1965	100.0	slug	indian-planning-at-the-crossroads-n-dandeker-m-p-nov11-1965	forum-of-free-enterprise	https://indianliberals.in/forum-of-free-enterprise/indian-planning-at-the-crossroads-n-dandeker-m-p-nov11-1965.pdf	200	Indian Planning at the Cross-Roads	1965
