md_slug	confidence	prod_slug	pdf_url	md_title	prod_title	notes
anavyartha-1	exact	anvyartha-1-sharad-joshi	https://indianliberals.in/marathi/anvyartha-1-sharad-joshi.pdf	Anavyartha: 1	Anvyartha 1 Sharad Joshi	transliteration rescue (anavyartha ↔ anvyartha)
anavyartha-2	exact	anvyartha-2-sharad-joshi	https://indianliberals.in/marathi/anvyartha-2-sharad-joshi.pdf	Anavyartha: 2	Anvyartha 2 Sharad Joshi	transliteration rescue
artha-to-sangto-punha-by-sharad-joshi	exact	artha-to-sagto-punha-sharad-joshi	https://indianliberals.in/marathi/artha-to-sagto-punha-sharad-joshi.pdf	Artha to Sangto Punha by Sharad Joshi	Artha to Sagto Punha Sharad Joshi	typo rescue (sangto ↔ sagto)
vedepir-by-anant-umrikar	exact	vedepir-anant-umrikar	https://indianliberals.in/marathi/vedepir-anant-umrikar.pdf	'Vedepir' by Anant Umrikar	Vedepir Anant Umrikar	conflict-resolved single match
khoj-november-february-2006	exact	khoj-november-december-2006	https://indianliberals.in/gujarati/khoj-november-december-2006.pdf	Khoj : November - February, 2006	Khoj November December 2006	month rescue (Nov-Feb ↔ Nov-Dec)
aandolan	exact	aandolan-anant-umrikar	https://indianliberals.in/marathi/aandolan-anant-umrikar.pdf	Aandolan	Aandolan Anant Umrikar	duplicate-MD pair (1/2)
aandolan-anant-umrikar	exact	aandolan-anant-umrikar	https://indianliberals.in/marathi/aandolan-anant-umrikar.pdf	Aandolan	Aandolan Anant Umrikar	duplicate-MD pair (2/2)
angarmala-by-sharad-joshi	exact	angarmala-sharad-joshi	https://indianliberals.in/marathi/angarmala-sharad-joshi.pdf	Angarmala	Angarmala Sharad Joshi	duplicate-MD pair (1/2)
angarmala-sharad-joshi	exact	angarmala-sharad-joshi	https://indianliberals.in/marathi/angarmala-sharad-joshi.pdf	Angarmala	Angarmala Sharad Joshi	duplicate-MD pair (2/2)
baliche-rajey-yenar-aahe-by-sharad-joshi	exact	baliche-rajey-yenar-aahe-sharad-joshi	https://indianliberals.in/marathi/baliche-rajey-yenar-aahe-sharad-joshi.pdf	Baliche Rajey Yenar Aahe	Baliche Rajey Yenar Aahe Sharad Joshi	duplicate-MD pair (1/2)
baliche-rajey-yenar-aahe-sharad-joshi	exact	baliche-rajey-yenar-aahe-sharad-joshi	https://indianliberals.in/marathi/baliche-rajey-yenar-aahe-sharad-joshi.pdf	Baliche Rajey Yenar Aahe	Baliche Rajey Yenar Aahe Sharad Joshi	duplicate-MD pair (2/2)
udarwad-raj-samaj-aur-bazaar	exact	udarwad-raj-samaj-aur-bazaar	https://indianliberals.in/liberals/udarwad-raj-samaj-aur-bazar-ka-naya-paath-hindi-book-based-on-free-your-mind.pdf	Udarwad Raj Samaj Aur Bazaar	Udarwad Raj Samaj Aur Bazaar	duplicate-MD pair (1/2)
udarwad-raj-samaj-aur-bazaar-ka-naya-paath	exact	udarwad-raj-samaj-aur-bazaar	https://indianliberals.in/liberals/udarwad-raj-samaj-aur-bazar-ka-naya-paath-hindi-book-based-on-free-your-mind.pdf	Udarwad Raj Samaj Aur Bazaar Ka Naya Paath	Udarwad Raj Samaj Aur Bazaar	duplicate-MD pair (2/2)
khoj-january-february-2007	exact	khoj-january-february-2007	https://indianliberals.in/gujarati/khoj-january-february-2007.pdf	Khoj : January - February, 2007	Khoj January February 2007	duplicate-MD pair (1/2)
khoj-januray-february-2007	exact	khoj-january-february-2007	https://indianliberals.in/gujarati/khoj-january-february-2007.pdf	Khoj : January - February, 2007	Khoj January February 2007	duplicate-MD pair (2/2, typo)
khoj-november-december-2009	exact	khoj-november-december-2009	https://indianliberals.in/gujarati/khoj-november-december-2009.pdf	Khoj : November - December, 2009	Khoj November December 2009	clear single match (was conflict)
khoj-july-august-2006	exact	khoj-july-august-2006	https://indianliberals.in/gujarati/khoj-july-august-2006.pdf	Khoj : July - August, 2006	Khoj July August 2006	clear single match (was conflict)
convertibility-of-rupee-on-capital-account-dr-s-r-k-rao	exact	convertibility-of-rupee-on-capital-account-dr-s-r-k-rao	https://indianliberals.in/forum-of-free-enterprise/convertibility-of-rupee-on-capital-account-dr-s-r-k-rao.pdf	Convertibility of the Rupee on Capital Account	Convertibility of Rupee on Capital Account Dr S R K Rao	duplicate-MD pair (1/2)
convertibility-of-rupee-on-capital-market-by-s-r-k-rao-1997	exact	convertibility-of-rupee-on-capital-account-dr-s-r-k-rao	https://indianliberals.in/forum-of-free-enterprise/convertibility-of-rupee-on-capital-account-dr-s-r-k-rao.pdf	Convertibility of the Rupee on Capital Market	Convertibility of Rupee on Capital Account Dr S R K Rao	duplicate-MD pair (2/2, MD title differs)
administrators-managers-leadership-deepak-parekh	exact	administrators-managers-and-leadership-by-deepak-parekh-1997	https://indianliberals.in/forum-of-free-enterprise/administrators-managers-and-leadership-by-deepak-parekh-1997.pdf	Administrators, Managers and Leadership	Administrators, Managers and Leadership	clash-with-existing rescue (same work, two MDs)
basic-documents-forum-of-free-enterprise-july-18-1956	exact	basic-documents-forum-of-free-enterprise-july-18-1956	https://indianliberals.in/forum-of-free-enterprise/basic-documents-forum-of-free-enterprise-july-18-1956.pdf	Basic Documents	Basic Documents Forum of Free Enterprise	final rescue
