md_slug	confidence	prod_slug	pdf_url	md_title	prod_title	notes
a-strategy-for-exports-16-july-1975	exact	a-strategy-for-exports-16-July-1975	https://indianliberals.in/forum-of-free-enterprise/a-strategy-for-exports-16-July-1975.pdf	A Strategy for Exports	a-strategy-for-exports-16-July-1975	local-backup rescue (score >= 95, HEAD verified)
a-vision-on-new-india-2020-mukesh-a-ambani	exact	a-vision-on-new-india-2020-mukesh-a-ambani	https://indianliberals.in/forum-of-free-enterprise/a-vision-on-new-india-2020-mukesh-a-ambani.pdf	A VISION OF INDIA IN 2020	a-vision-on-new-india-2020-mukesh-a-ambani	local-backup rescue (score >= 95, HEAD verified)
accountability-in-public-sevice-n-vittal-february-4-2011	exact	accountability-in-public-sevice-n-vittal-february-4-2011	https://indianliberals.in/forum-of-free-enterprise/accountability-in-public-sevice-n-vittal-february-4-2011.pdf	Accountability in Public Service	accountability-in-public-sevice-n-vittal-february-4-2011	local-backup rescue (score >= 95, HEAD verified)
anvyartha-1-sharad-joshi	exact	anvyartha-1-sharad-joshi	https://indianliberals.in/marathi/anvyartha-1-sharad-joshi.pdf	अन्वयार्थ - १	anvyartha-1-sharad-joshi	local-backup rescue (score >= 95, HEAD verified)
balyo-bibaher-dosh-ishwar-chandra-vidyasagar	exact	balyo-bibaher-dosh-Ishwar-chandra-vidyasagar	https://indianliberals.in/bengali/balyo-bibaher-dosh-Ishwar-chandra-vidyasagar.pdf	বাল্য বিবাহের দোষ	balyo-bibaher-dosh-Ishwar-chandra-vidyasagar	local-backup rescue (score >= 95, HEAD verified)
banken-lutal-shetkanyala-by-anant-umrikar	exact	banken-lutal-shetkanyala-anant-umrikar	https://indianliberals.in/marathi/banken-lutal-shetkanyala-anant-umrikar.pdf	'Banken Lutal Shetkanyala' by Anant Umrikar	banken-lutal-shetkanyala-anant-umrikar	local-backup rescue (score >= 95, HEAD verified)
banker-and-corporate-customer-mr-r-k-talwar-june-27-1974	exact	banker-and-corporate-customer-mr-r-k-talwar-june-27-1974	https://indianliberals.in/forum-of-free-enterprise/banker-and-corporate-customer-mr-r-k-talwar-june-27-1974.pdf	BANKER AND CORPORATE CUSTOMER	banker-and-corporate-customer-mr-r-k-talwar-june-27-1974	local-backup rescue (score >= 95, HEAD verified)
banks-relationship-with-customers-evolving-perspectives-mrs-shyamala-gopinath-may-6-2008	exact	banks-relationship-with-customers-evolving-perspectives-mrs-shyamala-gopinath-may-6-2008	https://indianliberals.in/forum-of-free-enterprise/banks-relationship-with-customers-evolving-perspectives-mrs-shyamala-gopinath-may-6-2008.pdf	Banks' Relationship with Customers - Evolving Perspectives	banks-relationship-with-customers-evolving-perspectives-mrs-shyamala-gopinath-may-6-2008	local-backup rescue (score >= 95, HEAD verified)
banks-relationship-with-customers-mrs-shyamala-gopinath-may-6-2008	exact	banks-relationship-with-customers-mrs-shyamala-gopinath-may-6-2008	https://indianliberals.in/forum-of-free-enterprise/banks-relationship-with-customers-mrs-shyamala-gopinath-may-6-2008.pdf	Banks' Relationship with Customers - Evolving Perspectives	banks-relationship-with-customers-mrs-shyamala-gopinath-may-6-2008	local-backup rescue (score >= 95, HEAD verified)
chandvdachi-shidori-by-sharad-joshi	exact	chandvdachi-shidori-sharad-joshi	https://indianliberals.in/marathi/chandvdachi-shidori-sharad-joshi.pdf	Chandvdachi Shidori by Sharad Joshi	chandvdachi-shidori-sharad-joshi	local-backup rescue (score >= 95, HEAD verified)
