md_slug	confidence	prod_slug	pdf_url	md_title	prod_title	notes
a-review-of-the-rupee-trade-dr-jayashekar-june-15-1983	exact	a-review-of-the-rupee-trade-by-dr-jayashekar-15-june-1983	https://indianliberals.in/forum-of-free-enterprise/a-review-of-the-rupee-trade-dr-jayashekar-june-15-1983.pdf	A Review of the Rupee Trade	A review of the rupee trade by Dr. Jayashekar (15 June 1983) - Indian Liberals	manual rescue (top1=100, original miss)
an-infationary-budget-a-d-shroff-jun7-1959	exact	an-inflationary-budget-by-a-d-shroff	https://indianliberals.in/forum-of-free-enterprise/an-infationary-budget-a-d-shroff-jun7-1959.pdf	An Inflationary Budget	An Inflationary Budget by A.D. Shroff - Indian Liberals	manual rescue (top1=100, original miss)
central-economic-planning-professor-milton-friedman-rose-friedman-september14-1982	exact	central-economic-planning-by-professor-milton-friedman-and-rose-friedman-14-september-1982	https://indianliberals.in/forum-of-free-enterprise/central-economic-planning-professor-milton-friedman-rose-friedman-september14-1982.pdf	Central Economic Planning	Central Economic Planning by Professor Milton Friedman and Rose Friedman (14 September 1982) - Indian Liberals	manual rescue (top1=100, original miss)
challenges-of-transforming-india-amitabh-kant	exact	challenges-of-transforming-india-by-amitabh-kant-02-january-2017	https://indianliberals.in/forum-of-free-enterprise/challenges-of-transforming-india-amitabh-kant.pdf	Challenges of Transforming India	Challenges of Transforming India by Amitabh Kant (02 January 2017) - Indian Liberals	manual rescue (top1=100, original miss)
corporate-governance-a-practitioners-perspective-dr-mukund-rajan	exact	corporate-governance-a-practitioners-perspective-by-dr-mukund-rajan-july-2019	https://indianliberals.in/forum-of-free-enterprise/corporate-governance-a-practitioners-perspective-dr-mukund-rajan.pdf	Corporate Governance – A Practitioner's Perspective	Corporate Governance – A Practitioner's Perspective by Dr. Mukund Rajan (July 2019) - Indian Liberals	manual rescue (top1=100, original miss)
corruption-can-be-controlled-dr-pv-shenoi-ram-gandhi	exact	corruption-can-be-controlled-by-dr-p-v-shenoi-and-ram-gandhi	https://indianliberals.in/forum-of-free-enterprise/corruption-can-be-controlled-dr-pv-shenoi-ram-gandhi.pdf	Corruption Can Be Controlled	Corruption Can be Controlled by Dr. P V Shenoi and Ram Gandhi - Indian Liberals	manual rescue (top1=100, original miss)
danger-of-outmoded-socialism-to-indias-welfare-murarji-j-vaidya-janruary-15-1967	exact	danger-of-outmoded-socialism-to-indias-welfare-by-murarji-j-vaidya-15-january-1967	https://indianliberals.in/forum-of-free-enterprise/danger-of-outmoded-socialism-to-indias-welfare-murarji-j-vaidya-janruary-15-1967.pdf	DANGER OF OUTMODED SOCIALISM TO INDIA'S WELFARE	Danger of Outmoded Socialism to India's Welfare by Murarji J. Vaidya (15 January 1967) - Indian Liberals	manual rescue (top1=100, original miss)
decades-of-determination-to-achieve-sustainable-development-prof-u-r-rao	exact	decade-of-determination-to-achieve-sustainable-development-january-1998	https://indianliberals.in/forum-of-free-enterprise/decades-of-determination-to-achieve-sustainable-development-prof-u-r-rao.pdf	Decade of Determination to Achieve Sustainable Development	Decade of Determination to Achieve Sustainable Development (January 1998) - Indian Liberals	manual rescue (top1=100, original miss)
democracy-in-india-j-m-lobo-prabhu-may8-1960	exact	democracy-in-india-by-jm-lobo-prabhu	https://indianliberals.in/wp-content/uploads/2020/11/Democracy_In_India.pdf	Democracy in India	Democracy in India (1959) - Indian Liberals	manual rescue (top1=100, original miss)
economic-growth-with-social-justice-dr-b-r-shenoy-august-1977	exact	economic-growth-with-social-justice-by-dr-b-r-shenoy-august-1977	https://indianliberals.in/forum-of-free-enterprise/economic-growth-with-social-justice-dr-b-r-shenoy-august-1977.pdf	Economic Growth with Social Justice	Economic Growth with Social Justice by Dr. B. R. Shenoy (August 1977) - Indian Liberals	manual rescue (top1=100, original miss)
economic-reforms-in-india-where-are-we-and-where-do-we-go-dr-rakesh-mohan-october-10-2006	exact	economic-reforms-in-india-where-are-we-and-where-do-we-go-by-dr-rakesh-mohan-october-10-2006	https://indianliberals.in/forum-of-free-enterprise/economic-reforms-in-india-where-are-we-and-where-do-we-go-dr-rakesh-mohan-october-10-2006.pdf	Economic Reforms in India: Where are We and Where do We Go?	Economic Reforms in India : Where are We and Where do We Go? by Dr. Rakesh Mohan (October 10, 2006) - Indian Liberals	manual rescue (top1=100, original miss)
economics-of-freedom-m-a-masani-feb12-1965	exact	economics-of-freedom-by-m-r-masani-feb-12-1965	https://indianliberals.in/forum-of-free-enterprise/economics-of-freedom-m-a-masani-feb12-1965.pdf	ECONOMICS OF FREEDOM	Economics of Freedom by M. R. Masani (February 12, 1965) - Indian Liberals	manual rescue (top1=100, original miss)
energy-security-policy-by-ma-pathan-2005	exact	energy-security-policy-by-m-a-pathan-december-10-2005	https://indianliberals.in/forum-of-free-enterprise/energy-security-policy-by-ma-pathan-2005.pdf	Energy Security Policy	Energy Security Policy by M.A Pathan (December, 10, 2005) - Indian Liberals	manual rescue (top1=100, original miss)
equity-in-a-global-society-by-dr-ig-patel-january-february-17-1996	exact	equity-in-a-global-society-by-dr-i-g-patel-january-february-17-1996	https://indianliberals.in/forum-of-free-enterprise/equity-in-a-global-society-by-dr-ig-patel-january-february-17-1996.pdf	EQUITY IN A GLOBAL SOCIETY	Equity in a Global Society by Dr. I.G. Patel (January-February 17, 1996) - Indian Liberals	manual rescue (top1=100, original miss)
