md_slug	confidence	prod_slug	pdf_url	md_title	prod_title	notes
giving-is-receiving-mrs-meera-shenoy	exact	giving-is-receiving-mrs-meera-shenoy	https://indianliberals.in/forum-of-free-enterprise/giving-is-receiving-mrs-meera-shenoy.pdf	Giving is Receiving	Giving is Receiving by Mrs. Meera Shenoy (January 2019) - Indian Liberals	
good-governance-by-minoo-r-shroff-and-hd-shourie-2002	exact	good-governance-by-minoo-r-shroff-and-hd-shourie-2002	https://indianliberals.in/forum-of-free-enterprise/good-governance-by-minoo-r-shroff-and-hd-shourie-2002.pdf	Good Governance in India	Good Governance (Jan, 20, 2002) by Minoo R. Shroff & H.D Shourie - Indian Liberals	
goods-services-tax-an-overview-jamshyd-godrej-bhavana-doshi-s-s-bhandare	exact	goods-services-tax-an-overview-jamshyd-godrej-bhavana-doshi-s-s-bhandare	https://indianliberals.in/forum-of-free-enterprise/goods-services-tax-an-overview-jamshyd-godrej-bhavana-doshi-s-s-bhandare.pdf	Goods & Services Tax		
governance-democracy-in-india-r-balasubramanian	exact	governance-democracy-in-india-r-balasubramanian	https://indianliberals.in/forum-of-free-enterprise/governance-democracy-in-india-r-balasubramanian.pdf	Governance & Democracy in India	Governance & Democracy in India by R. Balasubramanian (May 2019) - Indian Liberals	
growing-government-is-a-cause-for-concern-dr-pendise-july-17-1995	exact	growing-government-is-a-cause-for-concern-dr-pendise-july-17-1995	https://indianliberals.in/forum-of-free-enterprise/growing-government-is-a-cause-for-concern-dr-pendise-july-17-1995.pdf	Growing Government Expenditure is a Cause for Concern	Growing Government is a Cause for Concern by D.R. Pendise (July 17, 1995) - Indian Liberals	
higher-education-at-the-cross-roads-of-the-twentieth-and-twenty-first-centuries-dr-miss-a-s-desai	exact	higher-education-at-the-cross-roads-of-the-twentieth-and-twenty-first-centuries-dr-miss-a-s-desai	https://indianliberals.in/forum-of-free-enterprise/higher-education-at-the-cross-roads-of-the-twentieth-and-twenty-first-centuries-dr-miss-a-s-desai.pdf	Higher Education at the Cross-Roads of the Twentieth and Twenty-First Centuries	Higher Education at the Cross-roads of the twentieth and twenty-first centuries by Dr. (Miss) A. S. DESAI (January 1999) - Indian Liberals	
housing-problem-india-deepak-parekh-aug-1988	exact	housing-problem-india-deepak-parekh-aug-1988	https://indianliberals.in/forum-of-free-enterprise/housing-problem-india-deepak-parekh-aug-1988.pdf	Housing Problem in India — Today and 2000 A.D.	Housing Problem in India - Today and 2000 A.D. by Deepak S Parekh (August 16, 1988) - Indian Liberals	
on-socialism-and-bank-nationalisation-dr-r-c-cooper-professor-k-a-joseph-professor-b-r-shenoy-c-c-desai-a-k-chanda-august-9-1	exact	on-socialism-and-bank-nationalisation-dr-r-c-cooper-professor-k-a-joseph-professor-b-r-shenoy-c-c-desai-a-k-chanda-august-9-1	https://indianliberals.in/forum-of-free-enterprise/on-socialism-and-bank-nationalisation-dr-r-c-cooper-professor-k-a-joseph-professor-b-r-shenoy-c-c-desai-a-k-chanda-august-9-1.pdf	On Socialism and Bank Nationalisation		
on-wage-problem-and-industrial-unrest-naval-h-tata-c-v-pavaskar-b-n-srikrishna-january-14-1982	exact	on-wage-problem-and-industrial-unrest-naval-h-tata-c-v-pavaskar-b-n-srikrishna-january-14-1982	https://indianliberals.in/forum-of-free-enterprise/on-wage-problem-and-industrial-unrest-naval-h-tata-c-v-pavaskar-b-n-srikrishna-january-14-1982.pdf	ON WAGE PROBLEM AND INDUSTRIAL UNREST	On wage problem and industrial unrest by Naval H. Tata, C.V. Pavaskar, and B.N. Srikrishna (14 January 1982) - Indian Liberals	
organized-crime-and-economic-development-in-india-dr-ajit-kumar-sinha	exact	organized-crime-and-economic-development-in-india-dr-ajit-kumar-sinha	https://indianliberals.in/forum-of-free-enterprise/organized-crime-and-economic-development-in-india-dr-ajit-kumar-sinha.pdf	Organised Crime and Economic Development in India	Organized Crime and Economic Development in India by Dr. Ajit kr Jha (February 20, 2000) - Indian Liberals	
