correspondent_verbatim	files	nearest_authority_id	nearest_authority_name	similarity	likely_alias_of_existing
N Dandeker	77	n-dandekar	n dandekar	0.90	yes
N G Ranga	71	n-g-ranga	acharya n g ranga	0.69	review
Jayaprakash Naryan	64	jayaprakash-narayan	jai prakash narayan	0.97	yes
Girish Munshi	51	m-c-munshi	dr m c munshi	0.62	review
Homi Modi	43	homi-mody	sir homi mody	0.73	review
Raja	24	c-rajagopalachari	c rajagopalachari	0.80	review
V S Srikumar	23			0.00	no
R C Cooper	22	r-c-cooper	dr r c cooper	0.87	review
AP Jain	21	hp-ranina	hp ranina	0.62	review
R N Singh Deo	20	charan-singh	charan singh	0.64	review
A P Jain	20	ajit-prasad-jain	ajit prasad jain	0.67	review
Girish K Munshi	18	m-c-munshi	dr m c munshi	0.64	review
V P Bhatia	16	f-p-antia	f p antia	0.74	review
Madhu N Mehta	16	anupam-mehta	anupam mehta	0.56	review
Madhu Mehta	15	f-a-mehta	f a mehta	0.70	review
NG Ranga	14	n-g-ranga	acharya n g ranga	0.64	review
HP Mody	13	mh-mody	mh mody	0.86	review
kamakhya Narain Singh	13	charan-singh	charan singh	0.67	review
VS Srikumar	12			0.00	no
C Rajagopalchari	12	c-rajagopalachari	c rajagopalachari	0.97	yes
Kripalani	11	j-b-kripalani	acharya kripalani	0.69	review
S Y Krishnaswamy	11	v-k-krishna-menon	krishna menon	0.61	review
H P Modi	11	mh-mody	mh mody	0.67	review
Dahyabhai V Patel	11	sardar-patel	patel	0.71	review
V T Sreenivasan	9	ma-sreenivasan	m a sreenivasan	0.87	review
A P Sinha	7	s-l-n-sinha	s l n sinha	0.70	review
C C Desai	7	c-s-seshadri	c s seshadri	0.67	review
B S Mirza	7	bs-iyer	bs iyer	0.62	review
Narayan	7	jayaprakash-narayan	jai prakash narayan	0.82	review
Harihar Patel	6	sardar-patel	patel	0.80	review
N K Ganapaiah	6	n-n-pai	n n pai	0.60	review
P K Deo	6			0.00	no
Narendra Singh Mahida	6	anand-sinha	anand sinha	0.62	review
M S Aney	6	bs-sanyal	b s sanyal	0.67	review
