file	archive_id	date	year	date_flag	direction	correspondent_verbatim	thinker_id	resolution	genre	work_type_suggest
1-Letter_to_Mr_Suresh_Singh_19-04-1971.pdf	1	1971-04-19	1971		to	Suresh Singh		unresolved	letter	letter
10-Letter_to_Mr_Minoo_Masani_30-03-1971.pdf	10	1971-03-30	1971		to	Minoo Masani	minoo-masani	resolved	letter	letter
100-Letter_to_Miss_Kusumkumari_Joshi_05-03-1971.pdf	100	1971-03-05	1971		to	Kusumkumari Joshi		unresolved	letter	letter
1000-Letter_to_Mr_Minoo_Masani_27-08-1964.pdf	1000	1964-08-27	1964		to	Minoo Masani	minoo-masani	resolved	letter	letter
1001-Letter_from_Ayesh.pdf	1001				from	Ayesh		unresolved	letter	letter
1002-Inter_Parliamentary_Union_Conference_26-08-1964.pdf	1002	1964-08-26	1964							
1003-Letter_to_Mr_Minoo_Masani_22-08-1964.pdf	1003	1964-08-22	1964		to	Minoo Masani	minoo-masani	resolved	letter	letter
1004-Letter_to_Mr_Minoo_Masani_17-08-1964.pdf	1004	1964-08-17	1964		to	Minoo Masani	minoo-masani	resolved	letter	letter
1005-Letter_to_Mr_Minoo_Masani_17-08-1964.pdf	1005	1964-08-17	1964		to	Minoo Masani	minoo-masani	resolved	letter	letter
1006-Letter_to_Mr_Minoo_Masani_10-08-1964.pdf	1006	1964-08-10	1964		to	Minoo Masani	minoo-masani	resolved	letter	letter
1007-Letter_to_Raja_03-08-1964.pdf	1007	1964-08-03	1964		to	Raja		unresolved	letter	letter
1008-Letter_to_NG_Ranga_03-08-1964.pdf	1008	1964-08-03	1964		to	NG Ranga		unresolved	letter	letter
1009-Letter_to_NG_Ranga_03-08-1964.pdf	1009	1964-08-03	1964		to	NG Ranga		unresolved	letter	letter
101-Letter_to_Mr_Madhu_Mehta_04-03-1971.pdf	101	1971-03-04	1971		to	Madhu Mehta		unresolved	letter	letter
1010-Letter_to_Mr_Minoo_Masani_02-08-1964.pdf	1010	1964-08-02	1964		to	Minoo Masani	minoo-masani	resolved	letter	letter
1011-Telegram_to_NG_Ranga_31-07-1964.pdf	1011	1964-07-31	1964		to	NG Ranga		unresolved	telegram	telegram
1012-Letter_to_NG_Ranga_17-06-1963.pdf	1012	1963-06-17	1963		to	NG Ranga		unresolved	letter	letter
1013-Letter_to_Kripalani_17-06-1963.pdf	1013	1963-06-17	1963		to	Kripalani		unresolved	letter	letter
1014-Letter_to_Kripalani_16-06-1963.pdf	1014	1963-06-16	1963		to	Kripalani		unresolved	letter	letter
