publisher,filename,match,prod_slug,page_title,year,pdf_url,source_url
forum-of-free-enterprise,new-horizons-in-general-insurance-mr-vasant-c-vaidya-june-7-1982.pdf,exact,new-horizons-in-general-insurance-by-mr-vasant-c-vaidya-7-june-1982,New Horizons In General Insurance by Mr Vasant C Vaidya (7 June 1982),1982,https://indianliberals.in/forum-of-free-enterprise/new-horizons-in-general-insurance-mr-vasant-c-vaidya-june-7-1982.pdf,https://indianliberals.in/content/new-horizons-in-general-insurance-by-mr-vasant-c-vaidya-7-june-1982/
forum-of-free-enterprise,new-pattern-of-taxaton-in-india-students-dec8-1959.pdf,exact,new-pattern-of-taxation-in-india-by-students-dec-8-1959,"New Pattern of Taxation in India by Students (December 8, 1959)",1959,https://indianliberals.in/forum-of-free-enterprise/new-pattern-of-taxaton-in-india-students-dec8-1959.pdf,https://indianliberals.in/content/new-pattern-of-taxation-in-india-by-students-dec-8-1959/
forum-of-free-enterprise,on-railway-strike-and-industrial-relations-n-h-tata-s-r-mohan-das-prof-r-c-goyal-may-1974-june-1974-october-1973.pdf,exact,on-railway-strike-and-industrial-relations-by-n-h-tata-s-r-mohan-das-prof-r-c-goyal-may-1974-june-1974-october-1973,"On Railway Strike and Industrial Relations by N. H. Tata, S. R. Mohan Das, Prof. R. C. Goyal (May 1974, June 1974, October 1973)",1974,https://indianliberals.in/forum-of-free-enterprise/on-railway-strike-and-industrial-relations-n-h-tata-s-r-mohan-das-prof-r-c-goyal-may-1974-june-1974-october-1973.pdf,https://indianliberals.in/content/on-railway-strike-and-industrial-relations-by-n-h-tata-s-r-mohan-das-prof-r-c-goyal-may-1974-june-1974-october-1973/
forum-of-free-enterprise,on-rising-prices-and-black-money-dr-a-k-sur-professor-b-r-shenoy-september-12-1971.pdf,fuzzy100,on-rising-prices-and-black-money-by-dr-a-k-sur-and-professor-b-r-shenoy-12-september-1971,On Rising Prices and Black Money by Dr. A.K. Sur and Professor B.R. Shenoy (12 September 1971),1971,https://indianliberals.in/forum-of-free-enterprise/on-rising-prices-and-black-money-dr-a-k-sur-professor-b-r-shenoy-september-12-19711.pdf,https://indianliberals.in/content/on-rising-prices-and-black-money-by-dr-a-k-sur-and-professor-b-r-shenoy-12-september-1971/
forum-of-free-enterprise,socialism-k-santhanam-november-10-1970.pdf,exact,socialism-by-k-santhanam-others-november-10-1970,"Socialism by K.Santhanam & Others, (November 10 ,1970)",1970,https://indianliberals.in/forum-of-free-enterprise/socialism-k-santhanam-november-10-1970.pdf,https://indianliberals.in/content/socialism-by-k-santhanam-others-november-10-1970/
forum-of-free-enterprise,solar-energy-dr-rashmi-mayur-august-14-1978.pdf,exact,solar-energy-by-dr-rashmi-mayur-august-14-1978,"Solar Energy by Dr. Rashmi Mayur (August 14, 1978)",1978,https://indianliberals.in/forum-of-free-enterprise/solar-energy-dr-rashmi-mayur-august-14-1978.pdf,https://indianliberals.in/content/solar-energy-by-dr-rashmi-mayur-august-14-1978/
forum-of-free-enterprise,some-contradictions-in-the-plan-by-prof-cn-vakil-october-30-1956.pdf,exact,some-contradictions-in-the-plan-by-prof-c-n-vakil-october-30-1956,"Some Contradictions In The Plan by Prof. C.N. Vakil (October 30, 1956)",1956,https://indianliberals.in/forum-of-free-enterprise/some-contradictions-in-the-plan-by-prof-cn-vakil-october-30-1956.pdf,https://indianliberals.in/content/some-contradictions-in-the-plan-by-prof-c-n-vakil-october-30-1956/
forum-of-free-enterprise,some-lessons-of-a-decade-of-planning-by-prof-RK-Amin-July-7-1961.pdf,exact,some-lessons-of-a-decade-of-planning-by-prof-r-k-amin-july-7-1961,"Some Lessons of a Decade of Planning by Prof. R.K. Amin (July 7, 1961)",1961,https://indianliberals.in/forum-of-free-enterprise/some-lessons-of-a-decade-of-planning-by-prof-RK-Amin-July-7-1961.pdf,https://indianliberals.in/content/some-lessons-of-a-decade-of-planning-by-prof-r-k-amin-july-7-1961/
forum-of-free-enterprise,state-capitalism-marches-on-by-dharamsey-m-khatau-january-25-1957.pdf,exact,state-capitalism-marches-on-by-dharamsey-m-khatau-january-25-1957,"State Capitalism Marches On by Dharamsey M. Khatau (January 25, 1957)",1957,https://indianliberals.in/forum-of-free-enterprise/state-capitalism-marches-on-by-dharamsey-m-khatau-january-25-1957.pdf,https://indianliberals.in/content/state-capitalism-marches-on-by-dharamsey-m-khatau-january-25-1957/
forum-of-free-enterprise,state-enterprises-c-h-bhabha-1956.pdf,exact,state-enterprises-by-c-h-bhabha-1956,"State Enterprises by C.H.Bhabha, 1956",1956,https://indianliberals.in/forum-of-free-enterprise/state-enterprises-c-h-bhabha-1956.pdf,https://indianliberals.in/content/state-enterprises-by-c-h-bhabha-1956/
forum-of-free-enterprise,the-changing-structure-of-industrial-finance-p-s-lokanathan-april-2-1969.pdf,exact,the-changing-structure-of-industrial-finance-by-dr-p-s-lokanathan-2-april-1969,The Changing Structure of Industrial Finance by Dr P.S. Lokanathan (2 April 1969),1969,https://indianliberals.in/forum-of-free-enterprise/the-changing-structure-of-industrial-finance-p-s-lokanathan-april-2-1969.pdf,https://indianliberals.in/content/the-changing-structure-of-industrial-finance-by-dr-p-s-lokanathan-2-april-1969/
forum-of-free-enterprise,the-civil-service-in-transition-b-k-nehru.pdf,exact,the-civil-service-in-transition-by-b-k-nehru-november-2000,The Civil Service in Transition by B. K. Nehru (November 2000),2000,https://indianliberals.in/forum-of-free-enterprise/the-civil-service-in-transition-b-k-nehru.pdf,https://indianliberals.in/content/the-civil-service-in-transition-by-b-k-nehru-november-2000/
forum-of-free-enterprise,the-climate-change-issues-and-challenges-s-d-naik.pdf,exact,the-climate-change-issues-and-challenges-by-s-d-naik-june-2019,The Climate Change – Issues and Challenges by S.D. Naik (June 2019),2019,https://indianliberals.in/forum-of-free-enterprise/the-climate-change-issues-and-challenges-s-d-naik.pdf,https://indianliberals.in/content/the-climate-change-issues-and-challenges-by-s-d-naik-june-2019/
forum-of-free-enterprise,the-companies-amendment-bill-1972-n-a-palkhivala-r-g-saraiya-h-g-mody-september-october-1972.pdf,exact,the-companies-amendment-bill-1972-by-n-a-palkhivala-r-g-saraiya-m-h-mody-september-october-1972,"The Companies Amendment Bill 1972 by N. A. Palkhivala, R. G. Saraiya, M. H. Mody (September, October 1972)",1972,https://indianliberals.in/forum-of-free-enterprise/the-companies-amendment-bill-1972-n-a-palkhivala-r-g-saraiya-h-g-mody-september-october-1972.pdf,https://indianliberals.in/content/the-companies-amendment-bill-1972-by-n-a-palkhivala-r-g-saraiya-m-h-mody-september-october-1972/
forum-of-free-enterprise,the-concept-of-economic-equality-professor-p-t-bauer-september-14-1981.pdf,exact,the-concept-of-economic-equality-by-professor-p-t-bauer-14-september-1981,The concept of economic equality by Professor P.T. Bauer (14 September 1981),1981,https://indianliberals.in/forum-of-free-enterprise/the-concept-of-economic-equality-professor-p-t-bauer-september-14-1981.pdf,https://indianliberals.in/content/the-concept-of-economic-equality-by-professor-p-t-bauer-14-september-1981/
forum-of-free-enterprise,the-consumer-and-the-indian-economic-environment-professor-gangadhar-gadgil-september-12-1980.pdf,exact,the-consumer-and-the-indian-economic-environment-by-professor-gangadhar-gadgil-12-september-1980,The consumer and the Indian economic environment by Professor Gangadhar Gadgil (12 September 1980),1980,https://indianliberals.in/forum-of-free-enterprise/the-consumer-and-the-indian-economic-environment-professor-gangadhar-gadgil-september-12-1980.pdf,https://indianliberals.in/content/the-consumer-and-the-indian-economic-environment-by-professor-gangadhar-gadgil-12-september-1980/
forum-of-free-enterprise,the-cult-of-state-capitalism-in-india-c-h-bhabha-january-1-1970.pdf,exact,the-cult-of-state-capitalism-in-india-by-c-h-bhabha-january-1-1970,"The Cult of State Capitalism in India by C. H. Bhabha (January 1, 1970)",1970,https://indianliberals.in/forum-of-free-enterprise/the-cult-of-state-capitalism-in-india-c-h-bhabha-january-1-1970.pdf,https://indianliberals.in/content/the-cult-of-state-capitalism-in-india-by-c-h-bhabha-january-1-1970/
forum-of-free-enterprise,the-current-price-situation-s-s-bhandare-dr-abhay-pethe.pdf,exact,the-current-price-situation-by-s-s-bhandare-and-dr-abhay-pethe-september-15-1998,"The Current Price Situation by S.S. Bhandare and Dr. Abhay Pethe (September 15, 1998)",1998,https://indianliberals.in/forum-of-free-enterprise/the-current-price-situation-s-s-bhandare-dr-abhay-pethe.pdf,https://indianliberals.in/content/the-current-price-situation-by-s-s-bhandare-and-dr-abhay-pethe-september-15-1998/
forum-of-free-enterprise,the-dangers-of-joint-cooperative-farming-mar7-1950.pdf,exact,the-dangers-of-joint-co-operative-farming-by-m-r-masani-m-p-mar-7-1950,"The Dangers of Joint Co-operative Farming by M. R. Masani (March 7, 1950)",1950,https://indianliberals.in/forum-of-free-enterprise/the-dangers-of-joint-cooperative-farming-mar7-1950.pdf,https://indianliberals.in/content/the-dangers-of-joint-co-operative-farming-by-m-r-masani-m-p-mar-7-1950/
