publisher,filename,db_source,matched_title,db_pdf_ref,score
gujarati,khoj-november-december-2007.pdf,sql:language_pdf,"Khoj : Novemver - December, 2007",216984043.pdf,96
liberals,a-note-of-dissent-on-the-memorandum-of-the-panel-of-economists.pdf,sql:language_pdf,A Note of Dissent on the Memorandum of the Panel of Economists,2002251069.PDF,100
liberals,budget-2000-01-&-drifting-towards-the-cliff-march-2000.pdf,sql:language_pdf,"Budget (2000-01) & Drifting Towards The Cliff, March 2000",1587972917.pdf,100
liberals,current-economic-environment-for-business-&-the-budget-we-need-february-1995.pdf,sql:language_pdf,"Current Economic Environment for Business & The Budget We Need, February 1995",728714590.pdf,100
liberals,economic-situation-and-trends-in-ceylon-a-programme-of-reform.pdf,sql:language_pdf,Economic Situation and Trends in Ceylon - A Programme of Reform,1021109729.pdf,100
liberals,four-wheels-for-all-the-case-of-rapid-automobilisation-of-india.pdf,sql:language_pdf,Four Wheels for All: The Case of Rapid Automobilisation of India,593648462.pdf,100
liberals,free-your-mind-a-beginners-guide-to-political-economy.pdf,sql:language_pdf,Free Your Mind: A Beginnerâ€™s Guide to Political Economy,1771275223.PDF,99
liberals,from-the-hair-of-shiva-to-the-hair-of-the-prophet-and-other-essays.pdf,sql:language_pdf,From the Hair of Shiva to the Hair of the Prophet... and Other Essays,2091167555.pdf,100
liberals,indian-thought-through-the-ages-a-study-of-some-dominant-concepts.pdf,sql:language_pdf,Indian Thought through the Ages - A Study of Some Dominant Concepts,1445827833.pdf,100
liberals,is-vdis-a-success-january-1998.pdf,sql:language_pdf,"Is VDIS a Success, January 1998",2131162010.pdf,100
liberals,m-r-pai-the-story-of-an-uncommon-man-by-s-v-raju-2008.pdf,sql:language_pdf,"M.R. Pai, The Story of an Uncommon Man, by S. V. Raju (2008)",1111314332.pdf,100
liberals,making-indian-industry-globally-competitive-15-may-1995.pdf,sql:language_pdf,Making Indian Industry Globally Competitive ,2041994558.pdf,100
liberals,minoo-masani-at-90-freedom-first-1995.pdf,sql:language_pdf,"Minoo Masani at 90, Freedom First (1995)",590973500.pdf,100
liberals,natural-order-essays-exploring-civil-government-and-the-rule-of-law.pdf,sql:language_pdf,Natural Order: Essays Exploring Civil Government and the Rule of Law,2053274337.pdf,100
liberals,our-india.pdf,sql:language_pdf,Our India,1653200756.pdf,100
liberals,peter-bauer-a-true-friend-of-the-worlds-poor-ccs-viewpoint-4.pdf,sql:language_pdf,"Peter Bauer: A True Friend of the Worldâ€™s Poor, CCS Viewpoint 4",1816521231.pdf,98
liberals,population-causes-prosperity-ccs-viewpoint-2.pdf,sql:language_pdf,"Population Causes Prosperity, CCS Viewpoint 2",1539114985.pdf,100
liberals,shenoy-hayek-correspondences-set-i-hoover-institution-archives.pdf,sql:language_pdf,"Shenoy-Hayek Correspondences (Set I, Hoover Institution Archives)",373628302.pdf,100
liberals,shenoy-hayek-correspondences-set-ii-hoover-institution-archives.pdf,sql:language_pdf,"Shenoy-Hayek Correspondences (Set II, Hoover Institution Archives)",215666115.pdf,100
liberals,speech-made-by-c-rajagopalachari-at-the-swearing-in-ceremony-for-the-position-of-governor-general-of-india.pdf,sql:language_pdf,Speech made by C. Rajagopalachari at the swearing in ceremony for the position of Governor General of India,614176776.pdf,100
