publisher,filename,slug,confidence,fuzzy_candidate,drive_copies
forum-of-free-enterprise,new-horizons-in-general-insurance-mr-vasant-c-vaidya-june-7-1982.pdf,new-horizons-in-general-insurance-mr-vasant-c-vaidya-june-7-1982,new,,1
forum-of-free-enterprise,new-pattern-of-taxaton-in-india-students-dec8-1959.pdf,new-pattern-of-taxaton-in-india-students-dec8-1959,new,,1
forum-of-free-enterprise,on-railway-strike-and-industrial-relations-n-h-tata-s-r-mohan-das-prof-r-c-goyal-may-1974-june-1974-october-1973.pdf,on-railway-strike-and-industrial-relations-n-h-tata-s-r-mohan-das-prof-r-c-goyal-may-1974-june-1974-october-1973,new,,1
forum-of-free-enterprise,on-rising-prices-and-black-money-dr-a-k-sur-professor-b-r-shenoy-september-12-1971.pdf,on-rising-prices-and-black-money-dr-a-k-sur-professor-b-r-shenoy-september-12-1971,new,,1
forum-of-free-enterprise,socialism-k-santhanam-november-10-1970.pdf,socialism-k-santhanam-november-10-1970,new,,1
forum-of-free-enterprise,solar-energy-dr-rashmi-mayur-august-14-1978.pdf,solar-energy-dr-rashmi-mayur-august-14-1978,new,,1
forum-of-free-enterprise,some-contradictions-in-the-plan-by-prof-cn-vakil-october-30-1956.pdf,some-contradictions-in-the-plan-by-prof-cn-vakil-october-30-1956,new,,1
forum-of-free-enterprise,some-lessons-of-a-decade-of-planning-by-prof-RK-Amin-July-7-1961.pdf,some-lessons-of-a-decade-of-planning-by-prof-rk-amin-july-7-1961,new,,1
forum-of-free-enterprise,state-capitalism-marches-on-by-dharamsey-m-khatau-january-25-1957.pdf,state-capitalism-marches-on-by-dharamsey-m-khatau-january-25-1957,new,,1
forum-of-free-enterprise,state-enterprises-c-h-bhabha-1956.pdf,state-enterprises-c-h-bhabha-1956,new,,1
forum-of-free-enterprise,the-changing-structure-of-industrial-finance-p-s-lokanathan-april-2-1969.pdf,the-changing-structure-of-industrial-finance-p-s-lokanathan-april-2-1969,new,,1
forum-of-free-enterprise,the-civil-service-in-transition-b-k-nehru.pdf,the-civil-service-in-transition-b-k-nehru,new,,1
forum-of-free-enterprise,the-climate-change-issues-and-challenges-s-d-naik.pdf,the-climate-change-issues-and-challenges-s-d-naik,new,,1
forum-of-free-enterprise,the-companies-amendment-bill-1972-n-a-palkhivala-r-g-saraiya-h-g-mody-september-october-1972.pdf,the-companies-amendment-bill-1972-n-a-palkhivala-r-g-saraiya-h-g-mody-september-october-1972,new,,1
forum-of-free-enterprise,the-concept-of-economic-equality-professor-p-t-bauer-september-14-1981.pdf,the-concept-of-economic-equality-professor-p-t-bauer-september-14-1981,new,,1
forum-of-free-enterprise,the-consumer-and-the-indian-economic-environment-professor-gangadhar-gadgil-september-12-1980.pdf,the-consumer-and-the-indian-economic-environment-professor-gangadhar-gadgil-september-12-1980,new,,1
forum-of-free-enterprise,the-cult-of-state-capitalism-in-india-c-h-bhabha-january-1-1970.pdf,the-cult-of-state-capitalism-in-india-c-h-bhabha-january-1-1970,new,,1
forum-of-free-enterprise,the-current-price-situation-s-s-bhandare-dr-abhay-pethe.pdf,the-current-price-situation-s-s-bhandare-dr-abhay-pethe,new,,1
forum-of-free-enterprise,the-dangers-of-joint-cooperative-farming-mar7-1950.pdf,the-dangers-of-joint-cooperative-farming-mar7-1950,new,,1
forum-of-free-enterprise,the-dollar-and-the-international-monetary-system-arthur-f-burns-october-12-1979.pdf,the-dollar-and-the-international-monetary-system-arthur-f-burns-october-12-1979,new,,1
forum-of-free-enterprise,the-economic-environment-in-india-1967-n-a-palkhivala-august-11-1967.pdf,the-economic-environment-in-india-1967-n-a-palkhivala-august-11-1967,new,,1
