entry_id,work_type,publisher,suggested_pdf_url
giving-is-receiving-mrs-meera-shenoy,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/giving-is-receiving-mrs-meera-shenoy.pdf
good-governance-by-minoo-r-shroff-and-hd-shourie-2002,edited_volume,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/good-governance-by-minoo-r-shroff-and-hd-shourie-2002.pdf
goods-services-tax-an-overview-jamshyd-godrej-bhavana-doshi-s-s-bhandare,edited_volume,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/goods-services-tax-an-overview-jamshyd-godrej-bhavana-doshi-s-s-bhandare.pdf
governance-democracy-in-india-r-balasubramanian,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/governance-democracy-in-india-r-balasubramanian.pdf
growing-government-is-a-cause-for-concern-dr-pendise-july-17-1995,pamphlet,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/growing-government-is-a-cause-for-concern-dr-pendise-july-17-1995.pdf
higher-education-at-the-cross-roads-of-the-twentieth-and-twenty-first-centuries-dr-miss-a-s-desai,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/higher-education-at-the-cross-roads-of-the-twentieth-and-twenty-first-centuries-dr-miss-a-s-desai.pdf
housing-problem-india-deepak-parekh-aug-1988,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/housing-problem-india-deepak-parekh-aug-1988.pdf
on-socialism-and-bank-nationalisation-dr-r-c-cooper-professor-k-a-joseph-professor-b-r-shenoy-c-c-desai-a-k-chanda-august-9-1,edited_volume,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/on-socialism-and-bank-nationalisation-dr-r-c-cooper-professor-k-a-joseph-professor-b-r-shenoy-c-c-desai-a-k-chanda-august-9-1.pdf
on-wage-problem-and-industrial-unrest-naval-h-tata-c-v-pavaskar-b-n-srikrishna-january-14-1982,edited_volume,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/on-wage-problem-and-industrial-unrest-naval-h-tata-c-v-pavaskar-b-n-srikrishna-january-14-1982.pdf
organized-crime-and-economic-development-in-india-dr-ajit-kumar-sinha,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/organized-crime-and-economic-development-in-india-dr-ajit-kumar-sinha.pdf
perestroika-and-india-global-process-viren-shah-1988,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/perestroika-and-india-global-process-viren-shah-1988.pdf
pitfalls-in-ouri-ndustrial-policy-m-a-master-nov6-1959,pamphlet,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/pitfalls-in-ouri-ndustrial-policy-m-a-master-nov6-1959.pdf
planning-and-nationalization-rethinking-in-india-and-abroad-l-n-birla-dr-n-das-january-12-1967,edited_volume,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/planning-and-nationalization-rethinking-in-india-and-abroad-l-n-birla-dr-n-das-january-12-1967.pdf
planning-for-prosperity-a-d-shroff-oct8-1960,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/planning-for-prosperity-a-d-shroff-oct8-1960.pdf
planning-in-india-a-d-shroff-january-1-1970,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/planning-in-india-a-d-shroff-january-1-1970.pdf
plans-and-perspectives-by-bg-verghese-january-8-1961,pamphlet,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/plans-and-perspectives-by-bg-verghese-january-8-1961.pdf
price-policy-p-h-sheshagiri-rao-mar8-1960,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/price-policy-p-h-sheshagiri-rao-mar8-1960.pdf
problem-and-prospects-of-developing-countries-s-jannathan-1980,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/problem-and-prospects-of-developing-countries-s-jannathan-1980.pdf
problems-of-free-enterprise-obv-january-1-1970,pamphlet,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/problems-of-free-enterprise-obv-january-1-1970.pdf
property-rights-k-subba-rao-dec10-1968,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/property-rights-k-subba-rao-dec10-1968.pdf
prune-the-plan-prof-b-r-shebnoy-january-1-1970,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/prune-the-plan-prof-b-r-shebnoy-january-1-1970.pdf
puzzles-and-clues-m-a-sreenivavsan-1957,essay,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/puzzles-and-clues-m-a-sreenivavsan-1957.pdf
reflection-on-the-changing-scenario-of-the-indian-stock-marketst-m-r-mayya-december-21-1994,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/reflection-on-the-changing-scenario-of-the-indian-stock-marketst-m-r-mayya-december-21-1994.pdf
regional-cooperation-in-south-asia-h-t-parekh-december-13-1981,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/regional-cooperation-in-south-asia-h-t-parekh-december-13-1981.pdf
regulation-of-the-capital-market-and-the-role-of-sebi-by-gv-ramakrishna-may-15-1993,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/regulation-of-the-capital-market-and-the-role-of-sebi-by-gv-ramakrishna-may-15-1993.pdf
rising-prices-black-money-and-demonetisation-prof-b-p-adarkar-october-14-1973,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/rising-prices-black-money-and-demonetisation-prof-b-p-adarkar-october-14-1973.pdf
role-of-free-enterprise-c-l-gheevala-january-1-1970,pamphlet,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/role-of-free-enterprise-c-l-gheevala-january-1-1970.pdf
role-of-free-enterprises-by-sn-haji-october-2-1956,essay,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/role-of-free-enterprises-by-sn-haji-october-2-1956.pdf
role-of-intellectuals-in-public-life-prof-p-g-mavalankar-october-1979,speech,forum-of-free-enterprise,https://indianliberals.in/forum-of-free-enterprise/role-of-intellectuals-in-public-life-prof-p-g-mavalankar-october-1979.pdf
