# Thinker dedup analysis input (461 thinkers)
# Format: slug | canonical | refs | bio_source | also_known_as (semicolon-sep)
# Generated by /tmp/build_thinker_list.py

a-d-cohen  |  A. D. Cohen  |  2  |  unknown  |  -
a-d-shroff  |  A. D. Shroff  |  202  |  unknown  |  A.D. Shroff; AD Shroff; MR AD Shroff; ए. डी. श्रॉफ
a-p-j-abdul-kalam  |  A. P. J. Abdul Kalam  |  1  |  unknown  |  Abdul Kalam; Dr. Kalam; APJ Abdul Kalam; Kalam
a-ranganathan  |  A Ranganathan  |  3  |  unknown  |  -
a-solomon  |  A. Solomon  |  0  |  unknown  |  -
abhay-pethe  |  Abhay Pethe  |  2  |  unknown  |  Dr. Abhay Pethe
abhaya-prasad-hota  |  Abhaya Prasad Hota  |  2  |  ai_drafted_stub  |  -
abraham-lincoln  |  Abraham Lincoln  |  20  |  unknown  |  Lincoln; अब्राहम लिंकन
achyut-patwardhan  |  Achyut Patwardhan  |  2  |  unknown  |  -
adam-smith  |  Adam Smith  |  33  |  unknown  |  -
adi-godrej  |  Adi Godrej  |  0  |  unknown  |  -
ag-mulgaokar  |  AG Mulgaokar  |  0  |  unknown  |  -
ajit-bhattacharjea  |  Ajit Bhattacharjea  |  2  |  unknown  |  -
ajit-karnik  |  Ajit Karnik  |  9  |  unknown  |  Karnik
ajit-prasad-jain  |  Ajit Prasad Jain  |  0  |  unknown  |  -
ak-chandra  |  AK Chandra  |  0  |  unknown  |  -
ak-purwar  |  AK Purwar  |  0  |  unknown  |  -
albert-hirschman  |  Albert O. Hirschman  |  3  |  unknown  |  Albert Hirschman; Hirschman; हिर्षमन
aldous-huxley  |  Aldous Huxley  |  0  |  unknown  |  -
alexander-duff  |  Alexander Duff  |  1  |  unknown  |  -
alexis-de-tocqueville  |  Alexis de Tocqueville  |  10  |  unknown  |  Tocqueville
amartya-sen  |  Amartya Sen  |  5  |  unknown  |  -
ambrish-mehta  |  Ambrish Mehta  |  7  |  unknown  |  અંબરીષ મહેતા
amitabh-kant  |  Amitabh Kant  |  1  |  ai_drafted_stub  |  -
anand-sinha  |  Anand Sinha  |  1  |  ai_drafted_stub  |  -
anandibai-joshee  |  Anandibai Joshee  |  6  |  ai_drafted_stub  |  -
anant-umrikar  |  Anant Umrikar  |  1  |  unknown  |  अनंत उमरीकर
anil-patel  |  Anil Patel  |  1  |  unknown  |  અનિલ પટેલ
anthony-eden  |  Anthony Eden  |  0  |  unknown  |  Prime Minister Eden
anu-aga  |  Anu Aga  |  0  |  unknown  |  -
anupam-mehta  |  Anupam Mehta  |  0  |  unknown  |  -
arun-shourie  |  Arun Shourie  |  1  |  unknown  |  -
arvind-deshpande  |  Arvind Deshpande  |  2  |  unknown  |  Mr. Arvind Deshpande
arvind-lalbhai  |  Arvind Lalbhai  |  0  |  unknown  |  -
ashok-desai  |  Ashok V. Desai  |  7  |  unknown  |  Ashok Desai; Dr. Ashok V. Desai; Dr. Ashok Desai
ashok-mehta  |  Ashok Mehta  |  3  |  unknown  |  अशोक मेहता
ashok-mitra  |  Ashok Mitra  |  0  |  unknown  |  अशोक मित्र
ashwin-karia  |  Ashwin Karia  |  4  |  unknown  |  અશ્વિન કારીઆ
atal-bihari-vajpayee  |  Atal Bihari Vajpayee  |  4  |  unknown  |  Vajpayee; A. B. Vajpayee; AB Vajpayee
ayub-khan  |  Ayub Khan  |  0  |  unknown  |  General Ayub Khan; Field Marshal Ayub Khan
azim-premji  |  Azim Premji  |  0  |  unknown  |  -
azizun-nisa  |  Azizun Nisa  |  2  |  ai_drafted_stub  |  -
b-a-tarlton  |  B. A. Tarlton  |  3  |  ai_drafted_stub  |  -
b-g-rao  |  B. G. Rao  |  2  |  ai_drafted_stub  |  -
b-n-adarkar  |  B. N. Adarkar  |  3  |  ai_drafted_stub  |  -
b-r-shenoy  |  B. R. Shenoy  |  41  |  unknown  |  B.R. Shenoy; BR Shenoy; Prof BR Shenoy; बी आर शेनॉय; बी. आर. शेनॉय
b-rama-rau  |  Sir B. Rama Rau  |  1  |  ai_drafted_stub  |  -
b-s-mahajan  |  B. S. Mahajan  |  1  |  unknown  |  BS Mahajan
b-shiva-rao  |  B. Shiva Rao  |  2  |  ai_drafted_stub  |  -
b-t-krishnamachari  |  B. T. Krishnamachari  |  0  |  unknown  |  BT Krishnamachari; B.T. Krishnamachari; बी.टी. कृष्णमाचारी
babytai-kamble  |  Babytai Kamble  |  2  |  ai_drafted_stub  |  -
bal-gangadhar-tilak  |  Bal Gangadhar Tilak  |  17  |  unknown  |  Lokmanya Tilak; Tilak
begum-rokeya  |  Begum Rokeya  |  2  |  unknown  |  Begum Rokeya Sakhawat Hossain; Rokeya; বেগম রোকেয়া
benjamin-tucker  |  Benjamin Tucker  |  2  |  unknown  |  Benjamin F. Tucker; Benjamin R. Tucker; B. R. Tucker
bernard-iddings-bell  |  Bernard Iddings Bell  |  2  |  unknown  |  -
bernard-shaw  |  George Bernard Shaw  |  10  |  unknown  |  Bernard Shaw
bg-verghese  |  BG Verghese  |  0  |  unknown  |  -
bhanu-pratap-singh  |  Bhanu Pratap Singh  |  3  |  ai_drafted_stub  |  -
bhaskar-g-kakatkar  |  Bhaskar G. Kakatkar  |  2  |  ai_drafted_stub  |  -
bhimrao-ambedkar  |  B. R. Ambedkar  |  31  |  unknown  |  Ambedkar; Babasaheb; BR Ambedkar; B.R. Ambedkar; बाबासाहेब आंबेडकर; भीमराव आंबेडकर; डॉ. बाबासाहेब आंबेडकर; भीमराव रामजी आंबेडकर
bibek-debroy  |  Bibek Debroy  |  5  |  unknown  |  Dr. Bibek Debroy
biren-mookerjee  |  Sir Biren Mookerjee  |  4  |  unknown  |  Sir BIREN MOOKERJEE; Biren Mookerjee
bk-nehru  |  B. K. Nehru  |  2  |  unknown  |  BK Nehru
bp-adarkar  |  BP Adarkar  |  2  |  unknown  |  -
bp-godrej  |  BP Godrej  |  2  |  unknown  |  -
bradley-d-belt  |  Bradley D. Belt  |  1  |  ai_drafted_stub  |  -
bs-iyer  |  BS Iyer  |  2  |  unknown  |  -
bs-sanyal  |  BS Sanyal  |  0  |  unknown  |  B. S. Sanyal; B.S. Sanyal
c-l-dadhich  |  Dr. C. L. Dadhich  |  2  |  ai_drafted_stub  |  -
c-rajagopalachari  |  C. Rajagopalachari  |  57  |  unknown  |  Rajaji; C.R.; सी. राजगोपालाचारी; राजाजी
c-rangarajan  |  C. Rangarajan  |  7  |  unknown  |  Dr. C. Rangarajan
c-s-deshpande  |  C. S. Deshpande  |  4  |  unknown  |  Dr. C. S. Deshpande; Dr.C.S.Deshpande
c-s-seshadri  |  C. S. Seshadri  |  1  |  ai_drafted_stub  |  -
c-s-venkatachar  |  C. S. Venkatachar  |  1  |  ai_drafted_stub  |  -
c-y-chintamani  |  C. Y. Chintamani  |  4  |  ai_drafted_stub  |  -
carlos-romulo  |  Carlos P. Romulo  |  5  |  unknown  |  Carlos Romulo
chanaka-amaratunga  |  Chanaka Amaratunga  |  2  |  unknown  |  Dr. Chanaka Amaratunga
charan-singh  |  Charan Singh  |  6  |  unknown  |  Chaudhary Charan Singh; के. चरणसिंह; चौधरी चरण सिंह; चरण सिंह; के. चरण सिंह
chintaman-deshmukh  |  C. D. Deshmukh  |  11  |  unknown  |  CD Deshmukh; C. C. Deshmukh; Chintaman Deshmukh
christopher-lingle  |  Christopher Lingle  |  0  |  unknown  |  -
claret-dsouza  |  Claret D'Souza  |  0  |  unknown  |  -
colin-clark  |  Colin Clark  |  2  |  unknown  |  Professor Colin Clark
d-k-srivastava  |  D. K. Srivastava  |  0  |  unknown  |  Dr. D.K. Srivastava
d-m-kulkarni-libertarian  |  D. M. Kulkarni (Indian Libertarian)  |  1  |  unknown  |  -
d-n-sinha  |  Justice D. N. Sinha  |  1  |  ai_drafted_stub  |  -
d-r-mankekar  |  Dr. D. R. Mankekar  |  0  |  ai_drafted_stub  |  -
d-r-pendse  |  D. R. Pendse  |  14  |  unknown  |  DR Pendse; D.R. Pendse; डी. आर. पेंडसे
d-subbarao  |  Dr. D. Subbarao  |  1  |  ai_drafted_stub  |  -
d-v-gundappa  |  D. V. Gundappa  |  0  |  unknown  |  DVG; D.V.Gundappa
d-veerendra-heggade  |  D. Veerendra Heggade  |  1  |  ai_drafted_stub  |  -
dadabhai-naoroji  |  Dadabhai Naoroji  |  30  |  ai_drafted_stub  |  -
dankesh-oza  |  Dankesh Oza  |  2  |  unknown  |  ડંકેશ ઓઝા
david-hare  |  David Hare  |  1  |  unknown  |  -
deepak-parekh  |  Deepak Parekh  |  4  |  unknown  |  -
deng-xiaoping  |  Deng Xiaoping  |  6  |  unknown  |  -
